year,rsi(84/13)
2000,2.28024321848113
2001,5.494154216061207
2002,2.8563196237020674
2003,-0.15639346704639226
2004,-0.5178157350301049
2005,0.7513448663332936
2006,0.19591903003238026
2007,0.8803019788775882
2008,2.0911604502303596
2009,0.19541636220900852
2010,0.2223768210790029
2011,1.3733601300351614
2012,-1.897280130600657
2013,-0.024597859846553473
2014,0.04486963491695771
2015,1.2929923072141924
2016,-0.2790826796375471
2017,0.019254364527718112
2018,0.5544957900775624
2019,-0.43035707429299286
2020,0.5418066149275895
