,avg_metric,std_metric,avg_metric/std_metric,filter_counts,avg_port_cum_return,avg_holding_time_per_signal
Primary,-0.09945791256422928,0.3510086689461038,-0.28334887814266696,196535,0.35897772258691957,0.7143957607210124
Filter1,-0.1074923351887267,0.3006702052967188,-0.357509102315765,123967,0.4287832846907187,0.8507126224450958
Filter1+Filter2,-0.09381019939685187,0.2979167636993062,-0.31488728003079586,122254,0.4628889082234284,0.8467727368155816
