,filter_counts,avg_port_cum_return,avg_holding_time_per_signal,avg_metric,std_metric,avg_metric/std_metric
Primary,196532,7.051446045305999,0.7151026931999476,0.16115092857489635,0.37268370447249394,0.43240669404366233
Filter1,124371,2.3694610684319484,0.8443425651209154,0.12230524541639476,0.4180765547646137,0.29254270305890584
Filter1+Filter2,122701,2.4285494372334937,0.8435954067202973,0.11300476018995662,0.39190890458716743,0.2883444567532718
