year,rsi_2,rsi_3,rsi_4,rsi_5,rsi_6,rsi_7,rsi_8,rsi_9,rsi_10,rsi_11,rsi_12,rsi_13,rsi_14,rsi_15,rsi_16,rsi_17,rsi_18,rsi_19,rsi_20,rsi_21,rsi_22,rsi_23,rsi_24,rsi_25,rsi_26,rsi_27,rsi_28,rsi_29,rsi_30,rsi_31,rsi_32,rsi_33,rsi_34,rsi_35,rsi_36,rsi_37,rsi_38,rsi_39,rsi_40,rsi_41,rsi_42,rsi_43,rsi_44,rsi_45,rsi_46,rsi_47,rsi_48,rsi_49,rsi_50,rsi_51,rsi_52,rsi_53,rsi_54,rsi_55,rsi_56,rsi_57,rsi_58,rsi_59,rsi_60,rsi_61,rsi_62,rsi_63,rsi_64,rsi_65,rsi_66,rsi_67,rsi_68,rsi_69,rsi_70,rsi_71,rsi_72,rsi_73,rsi_74,rsi_75,rsi_76,rsi_77,rsi_78,rsi_79,rsi_80,rsi_81,rsi_82,rsi_83,rsi_84,rsi_85,rsi_86,rsi_87,rsi_88,rsi_89,rsi_90,rsi_91,rsi_92,rsi_93,rsi_94,rsi_95,rsi_96,rsi_97,rsi_98,rsi_99,rsi_100
2000,0.6287285609710972,0.15252209865099656,0.19642428491404426,0.346770789068378,0.44815348232596863,0.4394685763848407,0.2034870455279231,0.4690031829017604,0.8548263341622206,1.1781671650699568,1.1688392634866547,1.0676421460693566,0.9920890301090377,1.0619057578271642,1.2176207833961212,1.3912725803069106,1.489863093429722,1.4637707169954022,1.505509723535525,1.5724359714509137,1.6674701750747631,1.6442664158397564,1.7765366452240687,1.5957421390711226,1.3141134945687205,1.5036530690854355,1.7221156499018966,1.7773970258699707,1.7170806826373466,1.8423394014575065,2.0924806999840135,2.3418649035005283,2.3910916282789527,2.4985758900611916,1.781297308978723,1.784079023816595,1.886996814284703,1.8046906240866256,2.85909877595989,3.2452386360777123,3.3417933463432403,3.2412557731721,4.024533629370497,4.072597327874453,3.020297964067636,3.549899097085276,3.347900564958926,3.274094616386047,3.603757095938109,3.602088527857824,4.159871068569961,3.0943845283482716,3.0833707437229685,2.4677874560296074,3.808611290536453,3.7937683691029553,3.865988292615823,4.092099874441508,3.9079588599024118,3.409820374010924,2.7403722954553538,3.3189663406314183,3.427218910029246,2.701000217987817,2.8949767909099675,3.1015074267148894,3.0967068977974335,3.1298686479308344,2.8763257122810812,2.899844557979851,2.736407202816415,3.0180039306686752,2.3728189397888593,2.4999567792453887,2.82824371440871,2.254130258195358,2.19839561643817,2.715426795618923,2.7770453933673105,2.759364462487921,2.7124199280908465,3.005298205653751,3.2625998066587045,3.2418109416545913,1.9321183438642888,1.8043654807237204,1.7435106868413848,1.8367908174646097,1.8671659969588366,1.6768055878381725,1.8367390776483186,1.8453895740822617,1.8453895740822617,2.004234154886773,1.2257900300849285,2.149552170575992,2.105691916485932,2.1182124101478697,2.2259689104739784
2001,-0.011654159764384714,-0.11016646894721908,-0.009548338396193172,0.06935719003397482,0.07933858414624431,-0.0279968073054511,0.11563133651880525,0.2483643138455515,0.15427133984730387,0.1702049412493782,0.13339707575117388,0.4262807175010563,0.23853035024447147,0.20160985969755457,0.1469907338365908,0.051342904917352064,-0.033580718425277954,-0.0412934222962443,-0.09330096102192319,-0.15593312534152132,-0.11198676652088412,-0.21748122799024558,-0.1597083731668383,-0.056845288836189625,-0.18810340616068758,-0.04270164697043127,-0.15382399421301296,-0.1910778705199082,0.028294027924062954,-0.2713113836338753,-0.22819006825489435,-0.3449488804057773,-0.22707427441296152,-0.10628117343185951,-0.06433089258088912,0.07904212897195469,0.2262596542792585,0.19530165315524992,0.2769729790787033,0.25054881217983344,0.2940651984755017,0.23069487210738224,0.10089858814145178,0.2621197639407316,0.20318213738801863,0.2449878947383471,0.25085390505967736,0.40155614473388956,0.5863560743666344,0.6486147287045309,0.7176734352837882,0.7789315107146242,0.8369715290494365,0.8544421564898969,0.8421683090208036,0.6711450708796545,0.567424704140916,0.8277706963571361,0.7762493640143684,0.576542198624482,0.9338136342270628,0.731468676082159,0.699885446047895,0.5719610141479079,0.6518247287748311,0.6143338815865983,0.11149668444305101,0.2699607325132703,-0.004775584646895644,0.23543432578024281,0.19542633076109672,0.1766310735109588,-0.2352016333110257,-0.28097420598472705,-0.32434713053704195,-0.1307229280186436,0.24131913005653452,0.22616803741978786,0.1284949416217221,0.2417757551470549,0.3772704220453398,0.7166264242416643,0.05664958151418816,-3.8701545509415887,-3.8160971860093094,-3.605054175824483,-3.488993929621661,-3.4634090865274194,-3.4675076121856123,-3.575313537715672,-3.5699562881652764,-4.132818608086919,-4.094652989966513,-4.124104236782926,-4.086040076689004,-3.9874941218790214,-4.028619984269972,-4.047267611121962,-3.3927028317389745
2002,-0.8122264124250521,-0.8388367822199809,-0.6560557148658724,-0.5337252864037996,-0.6141083095763205,-0.7963852257448301,-0.7250235786546272,-0.6810029973368491,-0.60974677776901,-0.5431601768705394,-0.5151296661104654,-0.5088555803279985,-0.4611449208074387,-0.39434813344067365,-0.3313340606703743,-0.4054775587312371,-0.38626798854644917,-0.451597073931044,-0.45324534297342367,-0.44116190326670834,-0.3827952838772946,-0.3622939782939111,-0.36044867827630517,-0.2890522125929526,-0.25950390245813076,-0.2534059952251075,-0.2014252191593489,-0.15089791361791938,-0.18121958887702466,-0.16803832489145112,-0.2108005223397216,-0.15540282777479378,-0.3646494045291913,-0.31281297649171175,-0.18191039222397326,-0.15547876814937198,-0.12210634263461774,-0.0025032662191789962,-0.03441436272693215,0.0681074336634545,0.05729703064285159,-0.13196002931327855,-0.08955911801610228,-0.10830058766944083,-0.13629192454180017,-0.11353586238022388,-0.17496084271926762,-0.22797151173095181,-0.27539355629310985,-0.1809728763518105,-0.004667251318289668,-0.08096475723285727,-0.14529467510530408,-0.11057072364219621,-0.008546396896810459,-2.539602567787821,-2.383439748265543,-2.401570838201903,-2.328781367910705,-2.286995009323985,-2.2426817981305747,-2.286420751243662,-2.3321248898633953,-2.3893838478438196,-2.2606009555303763,-2.2168976996942935,-2.2887650716030365,-2.1850416348327495,-2.233766136443372,-2.216921726430521,-2.2250155745178803,-2.386087819586472,-2.422088806988662,-2.493155047639729,-2.4060895210219386,-2.6665496415446355,-2.450552466355815,0.3258515651862975,0.240165707381666,0.16653126344380495,0.2673627901208312,0.1487147356566067,0.5499031314764331,0.37970777794992644,0.2732134741252565,0.41838286475751846,0.6295045322024214,0.5632205904866765,1.1291021440335023,0.8547022611345637,0.803206074361242,1.0397313281649494,1.057134935841262,1.170740624047418,1.1647766028097772,1.3009521588023074,1.1986490092810083,1.4001067865518355,1.4200189013040334
2003,0.35248936692015537,0.444179941156931,0.21633827505771597,-0.023005998595002373,0.027017608004023055,-0.06313358829429057,0.061450396811480706,0.02554073924686755,0.07212040441707808,0.12527351777052573,0.24173060488384698,0.24476883206567987,0.13128567243517147,-0.07971331534406935,-0.0107918271509234,-0.030747790587320693,-0.039495629867049346,0.00046041512906494947,-0.010443937954111821,-0.02249344273453924,0.048658563347761516,0.02174240310866558,0.18744759938291264,0.23184069587721776,0.3016644131399195,0.2980013260672449,0.3573289837616372,0.40570082704872873,0.31439381097686186,0.34269494365895986,0.3675825180690455,0.33103473330293554,0.3578270265899035,0.28783683562165213,0.34492310382893077,0.24659215893510342,0.285189573127517,0.4420675050623954,0.464668400997322,0.4498796655393748,0.517066580990337,0.6279808147552713,0.36790235222078943,0.45603300205155356,0.61073786753567,0.4896221192864859,0.5887593450115568,0.8103112394558663,0.9331483207437116,0.9530432355325933,1.0220538723335928,1.0202557825332648,1.1124113883453657,1.0691437206703294,0.6757863125902255,0.6362920899008642,0.4659958350368473,0.17358946082266863,0.12194538348377677,0.15124140299544328,-0.579108867198154,0.4309793589248484,0.2868748869565525,0.22680352504821233,0.32250239759758714,0.2998306612139791,0.49536637282025164,0.6108827515558543,0.7259299319956424,0.7642463105097976,0.504644938775651,1.346822781024448,0.35291882125246926,0.24805311210083106,0.30329816196417175,0.2811907890084013,0.3999453523349928,0.4688284694460447,0.4182386097662792,0.37652867697588055,0.513987125245839,0.7404393056813716,0.8220254737402375,0.8464422772874306,0.7555731997325239,0.685071276213605,0.8195310382243299,1.045955018998858,1.2328197615018952,1.1840978940045905,1.5923395559736113,1.5315196260470105,1.431002633311115,1.3974498355241558,1.939503526961038,1.8188450387336277,0.49203408204305,1.1588197692988174,1.6174825850010623
2004,0.9672147785799502,0.9553680832491206,0.8987498371021274,0.7864744042308577,0.735250222114435,0.7282561362693579,0.6087992081983565,0.6005150736770336,0.6514708541124924,0.7206771191965125,0.7083312915931748,0.6852620157544558,0.7237825880010759,0.7378282020270236,0.6760893378680466,0.665595649457206,0.6613892697135795,0.56348540206574,0.5024388917283646,0.44738484115525695,0.5082661585365986,0.4745335295355743,0.4419491671519065,0.4320886900058733,0.3991165448239113,0.4361922997241527,0.4905886796825872,0.6158457165110122,0.6097885520721267,0.5486441049312959,0.7006500009135846,0.5739027509657777,0.543506150531747,0.5679416552642821,0.5052293675855922,0.5313557211932821,0.8140140301544689,0.8136335058115011,0.9047772781284478,1.017654913957979,0.4959209722735807,0.5750335568500791,0.2601752026503151,0.4762257143691738,0.4621369414405105,0.4521197035884672,0.41218152726656054,0.37964116875076714,0.4685195964399796,0.4687532048285629,0.5387357381316854,0.5976922623557371,0.5680570651865007,0.6294571862057788,1.898905816146462,1.6560234866342805,1.302208084640387,1.1903981131955956,1.153246597661626,1.1807595203203365,1.2002001791961616,1.1460316511129198,1.1344404887716042,1.2218931121610819,0.34050578349118876,0.4221272137278824,0.05082127106334792,0.1416652949292678,0.05629176922643692,-0.007083912782195635,-0.11009902968910928,-0.11052841826995126,0.2331217720661394,0.2702707847425713,0.297905693048243,0.48995672537407975,0.5265971185405827,0.4747727642248561,0.4920609691862297,0.46404272573665994,0.6436068889395363,0.6303771678689291,0.6360037417477555,0.941131237193199,0.8433168684910815,1.0451964176267716,1.2400299302612239,1.1074858347991687,0.8562046440693822,0.8716681490169788,0.6949860517342944,0.6992631664993221,0.28116378932193486,0.33667060945679866,0.6972491989057489,0.6149063530023394,0.7068307978061185,0.7620387608876723,1.125493479839699
2005,0.11756097525944309,0.025829181766974654,0.060493116700455374,-0.00840941045916145,-0.09760843572383955,-0.05412339624185642,-0.1021133207298804,-0.011839347338757977,-0.015409516378470735,-0.06467554648329123,-0.09357740095237743,-0.03891693119857807,-0.03223247174044521,-0.01393186670405989,-0.0945107470033792,-0.09683533086524192,-0.13026257413341372,-0.12723429172164574,-0.13862091423248316,-0.1323343433624604,-0.09453938608361198,-0.0703523020196717,-0.06256151323137092,0.014889177166764123,0.005674845362897885,0.04278389577435819,0.0809072036562923,0.1296733138280789,0.1901168128196715,0.2447496249299256,0.20087582405984464,0.20548498098269524,0.23447416800971596,0.2723197688523086,0.30576329169298183,0.30030599337071023,0.33056753593277916,0.29549231606367155,0.2865530433224792,0.27494162833703467,0.2601546340175682,0.27148379082517804,0.14168863673812268,0.2525324884634179,0.29357040129310286,0.303167296594382,0.3395110079835224,0.42572177235765596,0.45565209617829383,0.4661890149380501,0.47915632711243733,0.6143829936337533,0.667385568465049,0.6958206664371482,0.7643871468966374,0.7681217705902984,0.8171974857353264,0.8010659820028447,0.7688701796476379,0.785799677174715,0.842228218168385,0.8097794363789431,0.8149660214790846,0.8878637746031119,1.0940850064522447,1.0985490071633948,1.3419517519901607,1.4490583235219054,0.9706418346018602,1.0118493956149934,1.097326134832992,1.2240857200923223,1.3562005349257935,1.4270063647156919,1.5206968035941235,0.6482455517648612,0.688876146737062,0.4270357737569624,0.43284425893490036,0.4474744513812634,0.5122532102574079,0.5522915454068753,0.2559282038855622,0.8103079786064014,0.692582399021769,1.3572438175350763,1.3634394148363893,1.2847925324898815,1.9552470056112843,1.9150841022444085,1.531565350613269,1.7337255618649068,0.9390018495825365,0.8995907014564876,1.0075987310724035,0.9805150665392465,0.9802608437120872,1.0311421717769997,0.7626003303855754
2006,-0.468926471065426,-0.6091725962623961,-0.18787871779285242,-0.34346348121417486,-0.4928782898069047,-0.0366843447330489,0.031054954915789815,0.0069290983839875005,-0.015319953394435079,-0.3344302678006292,-0.33500748224109833,-0.3276417274555487,0.2335702452063431,0.2681027839142198,0.25696326070814307,0.38408013861217927,0.3738798194099237,0.35317236055598056,0.3477640695095731,0.3826654961736752,0.2634454216913775,0.22804579589820537,0.2298122293722696,0.27067086314794137,0.28787859767452106,0.35663451167589816,0.3632065558438445,0.34361539667516555,0.38327753664810615,0.3619556938033323,0.3205181032479572,0.3337481418698596,0.3547583078896638,0.5864562189464925,0.5831512907284907,0.40176136213114505,0.38162537813622877,0.40225781266292326,0.31827022788773623,0.35473674602824856,0.3869300027354674,0.434244875701858,0.35898654199338614,0.19867436816302694,0.2612224906865362,0.31346050582641644,0.28732298116456095,0.2787779963126169,0.25037289082020986,-0.11754678966257777,-0.028237182107464644,-0.044106462771067195,-0.07051438874181966,-0.030834992306552105,-0.001897021046971598,0.1021634333123793,0.2108526725975091,0.3556310347599622,0.6394072564749663,0.6040616908402371,-0.04848602831032559,-0.10171780520983417,-0.026246776495662604,-0.07594977753667916,0.04997662271343285,0.09842257854368017,0.10014494525680256,0.13157392845606505,0.13678111826565398,0.11388026458498542,0.14817624538148125,0.11717484211909197,0.1883145824364384,0.3032423617123556,0.8186339746114255,0.9444592820851803,1.0534330155092844,0.9555646801692481,0.9262762749454155,0.9419119753179584,0.8650650842040958,1.0486946855516246,1.029864093682464,0.6551209233080666,0.8061379675875266,0.02355369149047783,0.03151198813608886,0.10116754150064941,0.18397664977889835,0.32559490065830304,0.6041691371496585,0.9847930285174237,0.9864128539115132,0.9981665099000615,1.7076711007014431,1.7138688180820723,1.7491380487269268,1.729367704163412,1.729367704163412
2007,-0.2299469534700881,-0.29895011885650463,-0.3349377920444006,-0.32296046258901656,-0.33985635460026326,-0.40522640751326117,-0.3891699012152081,-0.3951091802045881,-0.42274320170517005,-0.5011890975035991,-0.4029729999599495,-0.33981204026280803,-0.29423775334030455,-0.29797849071718907,-0.3963386772763025,-0.42945422668208866,-0.4301818024521018,-0.41673534513949967,-0.3616900865671734,-0.4577128662605302,-0.5083737295926417,-0.47909217827273226,-0.44863187504223,-0.41649357903624157,-0.43758469944225603,-0.40349928403660656,-0.3450705845730908,-0.3234079607940597,-0.28322912161867125,-0.24248089452789484,-0.18250215789314345,-0.14662974051247565,-0.18054674820406982,-0.07130617612990574,-0.09566639407768833,-0.14570675000011407,-0.09980513742115593,-0.07461219355358199,-0.054215618747525646,-0.05810186097990622,-0.012490691056769546,-0.02799140072057724,0.025908405662360447,0.06579880494187136,-0.056151067504942316,-0.09688745386169721,-0.16749652576042917,-0.08896735774426844,-0.03924778848008963,0.007218620200122194,-0.006631007640611898,-0.011481228356553864,0.07474692433823397,0.08952675972499254,0.16384509565457478,0.2396168595413286,0.2788968655333745,0.2895828322225195,0.2518207241670514,0.2549930179120026,0.25368000575199506,0.11182045513565378,-0.044771319361306496,-0.09353439588133408,-0.17220323838941504,-0.14270739920526512,-0.20474618066809758,-0.36598815374866345,-0.24550573806596618,0.2086533009687505,0.28232356187739543,0.02638003472798482,-0.03069341963413657,0.4079681823707955,0.8273457710742942,0.8619664344817607,0.42615544285637286,0.4763175411463389,0.4219943215467566,0.49358757683778415,0.4399397166057267,0.29434597275538193,0.25371168538967864,-0.38250211843234516,-0.40280397543893187,-0.5644043515785997,-3.5612247187488757,-3.560317201767759,-3.501544895306619,-3.9369120439492833,-3.9176076454183204,-3.7587299044207394,-3.677789903754483,-3.519688159172524,-3.5160039671715757,-3.7345538898082484,-0.5033046805550716,-0.49935392925230365,-0.4368923258103651
2008,-0.596746792142259,-0.7692064644460828,-0.6750027506067118,-0.713534719310639,-0.48197722696248396,-0.42926698706797334,-0.23966009499004745,-0.25505140944545973,-0.24681674385338143,-0.09366381603464102,-0.18359559258548272,-0.180575383205182,-0.21598234846113556,-0.2022091781417963,0.016598850389170177,-0.004829921106295852,0.05155421744363593,0.04982293819083384,-0.0942980329164913,-0.12112891421524773,0.007085192519830588,0.04395081135125338,-0.06809627287362101,-0.12845632719544067,-0.1170292728946013,-0.13601387070527537,-0.10500739192596979,-0.12380277016073335,-0.1268784340971298,-0.15174419257484525,-0.038088771865615184,0.019710389800400484,0.020901643783257977,0.08984329328358147,0.20644813170160464,0.19151718727086292,0.16059810034580171,0.11340575009556272,0.27778116499749655,0.36816775199625124,0.25364637650620625,0.4157101851715411,0.5334362032300576,0.49985763180757037,0.6118686620432496,0.4459468431034231,0.3786028909019103,0.6000054117795867,0.5797125812177075,0.5935778615012378,1.0852090082021504,1.1255966344118264,1.1919214984714381,1.2983683697398496,1.3966634105947284,1.1863971903000048,1.2635258918426095,1.3506230052618151,1.393201552237893,1.447725972711036,1.4788655375650865,1.338712272387539,1.2996508465764807,1.3834439054472505,1.3042499301447474,1.3067754019665563,1.4495258906119748,1.666091644297728,1.6775863222058967,1.6673317152689255,1.7735056576097938,1.9330889325678327,1.9785632611856003,2.4780156775438087,2.402551188211112,2.516582944401028,2.6754414930023005,2.284006760784199,2.224298650879468,2.150723366440803,3.700621145604717,3.9052808776909833,4.00360416425004,4.066626174716869,4.368637160067755,4.001017583713882,3.9334430657197634,4.00676437695231,4.049957158587402,4.372279639907967,4.621950966302617,4.586989986718514,4.543073505706751,4.317416861601427,4.44122286733025,4.480582806952522,4.538116686640939,4.549698126153539,4.693999571358624
2009,1.0812232471080838,0.8383617507281486,0.5824297484615054,0.5252751063589283,0.43718496151773817,0.4551647644390639,0.39862786171317144,0.37576229249988274,0.4520687376706196,0.3570005576106635,0.4001360741673754,0.49339941587146435,0.4449918561847561,0.3593708954442926,0.38718163900662583,0.4296171576048079,0.44908990621743233,0.28182484090667914,0.3023310926413915,0.14147084572871885,0.06815099431923277,0.17397660833378326,0.23353586630946885,0.14322351254892576,0.010910584295747155,0.1375222247582697,0.10130913792639507,0.13551588616480262,0.23899426300464235,0.25460893364640075,0.3395276209242125,0.384083821538521,0.4584592827872769,0.4693832129468204,0.43211560218095285,0.38455262577072447,0.39678536604014064,0.3607292242632237,0.09313167285865402,-0.5717271357536735,-0.5315411862434704,-0.4672061820252766,-0.46090666702239097,-0.3398157053507589,-0.3162679460225468,-0.3379321444490991,-0.8176724154616918,-0.636903611129713,-0.00152861078165054,-0.002321981892570321,0.2071808106153672,0.11568438010946294,0.26904280687504284,0.34828591221598143,0.35092832763544946,0.330252181239843,0.268944643976399,0.252407954473124,0.33520832226567054,-0.2362870599446035,-0.15258767126774714,-0.20659142867750885,-0.2500802895748586,0.07920867296302553,0.14972648150388365,-0.49079716945576246,-0.5032632546271595,-0.4873622544884998,-0.48723783693040174,-0.7071778681185197,-0.7038398001632161,-0.2667131502331082,-0.7379666657917482,-0.20006958758052365,-0.18257638513385593,-0.07639033809411169,0.0450939475755984,0.24117330938436163,0.4318309543960348,1.648188783239172,1.9284634083416936,1.5120046401811567,1.9341087533646146,1.9950069346284198,1.8541085212223383,1.808130126571605,1.81591297077592,1.8398408195909781,2.3341010342834143,2.3341010342834143,2.406379404593206,3.1359232302603526,2.848733862919805,3.299886517169382,2.8480808377452926,2.513052975491976,2.7037877420804763,2.56871259814034,2.391214703287446
