year,ma(28/13)
2000,0.32360691491486954
2001,0.47969100651575036
2002,-0.10845169507110655
2003,0.9928560731182242
2004,0.2745135694839955
2005,0.27725798385955297
2006,-0.22047926627852482
2007,0.37139649131670105
2008,-0.318561596738628
2009,1.109288335673417
2010,0.3664176942099665
2011,0.20694078282115566
2012,0.37237210602775067
2013,0.4917361490203753
2014,0.5357869039248969
2015,-0.12770110408053145
2016,0.25923496987077865
2017,0.4341591379081943
2018,-0.13513333716749454
2019,0.3160866798657514
2020,-0.2634296707373249
