year,filter(1+2)
2000,-0.03599415317668956
2001,0.39843022061253247
2002,-0.3016960378543676
2003,0.5901427833810675
2004,0.2868303414891483
2005,0.21371761799278266
2006,0.18333786275497274
2007,-0.07463099093044687
2008,-0.03362943286637385
2009,0.5776193309692864
2010,0.1345767396829834
2011,-0.13804126928801366
2012,0.23238100293786648
2013,0.5861427404392556
2014,0.07433155214668512
2015,-0.21033081500368211
2016,0.22534313478463935
2017,0.4766253750168262
2018,-0.3024252402900651
2019,0.537339529703159
2020,-1.0469703285124772
