year,rsi(83/13)
2000,3.005298205653751
2001,0.7166264242416643
2002,0.1487147356566067
2003,0.7404393056813716
2004,0.6303771678689291
2005,0.5522915454068753
2006,1.0486946855516246
2007,0.29434597275538193
2008,3.9052808776909833
2009,1.5120046401811567
2010,0.699026943213935
2011,-1.9522391609572947
2012,0.6272770589183057
2013,1.0278806530318494
2014,-0.27236301565526355
2015,0.2752750415436932
2016,0.6091261468748574
2017,0.7493923937974457
2018,-0.2750389058470963
2019,1.1424945258586052
2020,-7.588702373966043
